wagon_ID,loading_state,loading_state_update,altitude,latitude,longitude,signal_quality_satellite,signal_quality_hdop,determination_position,GNSS_velocity,timestamp_measure_position,timestamp_transfer,movement_state,timestamp_measure_movement_state,timestamp_index,provider
'2863003559356639',Beladen,41 days 23:46:47,316.0,49.471634,10.977013,12.0,6.8,1,0.0,42 days 12:40:57.406000,42 days 12:41:19.946000,standing,42 days 12:40:57.406000,42 days 12:41:36,35
'763003557532473',Beladen,39 days 11:26:13,202.0,51.334586,9.471558,9.0,1.7,1,0.0,39 days 13:09:01.866000,39 days 13:09:16.914000,standing,39 days 13:09:01.866000,39 days 13:09:41,35
'763003503582457',Leer,43 days 08:05:47,454.0,47.171968,9.478124,9.0,1.6,1,0.0,43 days 14:15:16.391000,43 days 14:15:25.352000,standing,43 days 14:15:16.391000,43 days 14:15:42,35
'2863003512916644',Beladen,38 days 23:46:44,3.0,52.216175,14.595878,11.0,3.7,1,0.0,39 days 00:29:04.083000,39 days 00:29:34.961000,standing,39 days 00:29:04.083000,39 days 00:29:46,35
'2863003508456639',Leer,40 days 23:46:37,-8.0,52.39918,4.786725,10.0,2.3,1,0.0,41 days 04:06:36.369000,41 days 04:06:47.414000,standing,41 days 04:06:36.369000,41 days 04:07:09,35
'2863003590316642',Leer,40 days 23:46:37,-1.0,52.408329,4.746931,10.0,1.5,1,0.0,41 days 03:38:09.653000,41 days 03:38:33.321000,standing,41 days 03:38:09.653000,41 days 03:38:48,35
'763003572162470',Leer,38 days 23:46:44,3.0,53.857287,8.712649,9.0,1.0,1,0.0,39 days 07:42:28.686000,39 days 07:42:44.274000,standing,39 days 07:42:28.686000,39 days 07:42:55,35
'763003595062459',Leer,38 days 16:05:44,450.0,47.180223,9.474599,10.0,9.4,1,0.0,38 days 20:47:23.858000,38 days 20:47:29.852000,standing,38 days 20:47:23.858000,38 days 20:47:41,35
'763003547262470',Beladen,0 days 22:45:42,230.0,45.67893,9.127601,13.0,1.3,1,98.0,39 days 11:13:36.417000,39 days 11:13:40.633000,,NaT,39 days 11:14:03,35
'3073003513076640',Beladen,44 days 11:05:31,68.0,52.435281,10.747868,10.0,3.1,1,0.0,44 days 17:56:38.310000,44 days 17:56:57.160000,standing,44 days 17:56:38.310000,44 days 17:57:02,35
'1113003522433540',Beladen,38 days 15:05:51,24.0,52.399149,12.560836,10.0,1.9,1,0.0,38 days 19:30:46,38 days 19:33:31.633000,moving,38 days 19:30:46,38 days 19:33:39,35
'763003579462469',Beladen,-27 days +23:16:00,169.0,45.542921,9.241103,11.0,2.8,1,0.0,39 days 11:34:12.084000,39 days 11:34:39.305000,standing,39 days 11:34:12.084000,39 days 11:35:33,35
'1113003500133948',Beladen,40 days 23:46:37,145.0,51.376321,7.412191,11.0,3.2,1,0.0,41 days 04:22:59.998000,41 days 04:23:26.446000,standing,41 days 04:22:59.998000,41 days 04:23:38,35
'763003505052459',Beladen,43 days 23:46:50,-207.0,55.586864,12.781771,12.0,1.9,1,69.0,44 days 22:58:22.311000,44 days 23:10:26.566000,moving,44 days 22:58:22.311000,44 days 23:10:32,35
'1113003503853948',Leer,39 days 14:05:46,51.0,50.380963,7.583314,8.0,8.6,1,0.0,39 days 15:12:48.442000,39 days 15:13:05.899000,standing,39 days 15:12:48.442000,39 days 15:13:30,35
'1113003505733536',Beladen,43 days 22:45:45,8.0,44.336292,9.200653,10.0,2.7,1,29.0,44 days 22:07:16.310000,44 days 22:07:39.223000,moving,44 days 22:07:16.310000,44 days 22:07:48,35
'763003548252462',Leer,44 days 22:05:40,252.0,50.810157,9.040944,11.0,2.1,1,80.0,44 days 22:47:06.320000,44 days 22:47:23.988000,moving,44 days 22:47:06.320000,44 days 22:47:31,35
'2863003577616642',Beladen,42 days 02:05:44,56.0,51.802908,14.376053,10.0,3.2,1,0.0,42 days 04:30:23.770000,42 days 04:30:54.743000,standing,42 days 04:30:23.770000,42 days 04:31:11,35
'763003571222473',Beladen,42 days 22:45:49,174.0,50.558649,8.653926,11.0,1.6,1,0.0,43 days 00:18:22.922000,43 days 00:18:42.118000,standing,43 days 00:18:22.922000,43 days 00:19:00,35
'903003555324366',Leer,39 days 23:46:44,438.0,49.121705,10.758071,9.0,3.7,1,0.0,40 days 16:48:34.237000,40 days 16:48:56.618000,standing,40 days 16:48:34.237000,40 days 16:49:07,35
'763003520592471',Beladen,43 days 23:46:50,185.0,49.096106,6.169281,9.0,1.8,1,0.0,44 days 16:23:53.518000,44 days 16:24:12.441000,parking,44 days 16:23:53.518000,44 days 16:24:19,35
'2863003581806635',Leer,41 days 23:46:47,184.0,51.288959,15.226422,11.0,2.5,1,0.0,42 days 00:54:04,42 days 00:55:14.696000,moving,42 days 00:54:04,42 days 00:55:39,35
'763003520982474',Beladen,43 days 01:05:46,59.0,53.29365,9.779099,10.0,4.1,1,90.0,43 days 01:52:53.326000,43 days 01:53:16.039000,moving,43 days 01:52:53.326000,43 days 01:53:39,35
'763003557692459',Beladen,43 days 23:16:06,61.0,43.869,11.123209,11.0,4.0,1,0.0,44 days 20:42:52,44 days 20:45:06.598000,moving,44 days 20:42:52,44 days 20:45:12,35
'763003574372473',Beladen,42 days 09:23:35,223.0,51.25322,9.432059,12.0,3.0,1,0.0,42 days 10:32:50.659000,42 days 10:33:01.977000,standing,42 days 10:32:50.659000,42 days 10:33:33,35
'864853503964273',Beladen,37 days 22:45:39,2.0,41.11081,1.224132,9.0,1.9,1,0.0,40 days 10:06:12,40 days 10:08:02.508000,,NaT,40 days 10:08:20,35
'903003511834367',Leer,39 days 23:46:44,206.0,44.588699,22.975335,9.0,5.9,1,53.0,40 days 05:52:29.716000,40 days 05:52:32.414000,moving,40 days 05:52:29.716000,40 days 05:52:45,35
'903003563074367',Beladen,43 days 23:16:06,101.0,44.123071,24.981735,13.0,2.3,1,0.0,44 days 04:03:31,44 days 04:16:19.254000,moving,44 days 04:03:31,44 days 04:16:28,35
'2863003561316639',Beladen,43 days 23:46:50,341.0,48.572952,13.427139,10.0,3.7,1,0.0,44 days 21:24:26,44 days 21:25:57.769000,moving,44 days 21:24:26,44 days 21:26:04,35
'1113003530013540',Beladen,40 days 06:03:35,75.0,50.432365,7.413953,9.0,2.0,1,0.0,40 days 14:21:36,40 days 14:23:28.149000,moving,40 days 14:21:36,40 days 14:23:55,35
'1113003510160691',Beladen,41 days 23:46:47,234.0,50.842916,9.975104,8.0,3.1,1,0.0,42 days 14:10:01.732000,42 days 14:10:21.961000,standing,42 days 14:10:01.732000,42 days 14:10:52,35
'763003530792459',Leer,39 days 23:46:44,385.0,47.412404,8.398564,11.0,3.3,1,33.0,40 days 21:10:08.241000,40 days 21:10:20.993000,moving,40 days 21:10:08.241000,40 days 21:10:34,35
'2863003521066639',Beladen,38 days 06:05:42,34.0,52.565599,12.996157,11.0,1.9,1,0.0,38 days 10:26:42.754000,38 days 10:27:33.149000,standing,38 days 10:26:42.754000,38 days 10:27:38,35
