wagon_ID,wagon_construction,wagon_type,provider
'763003502090130',193.0,2.0,35
'763003502170130',193.0,2.0,35
'763003502250130',193.0,2.0,35
'763003502330130',193.0,2.0,35
'806603702410130',193.0,2.0,37
'763003502580130',193.0,2.0,35
'763003502660130',193.0,2.0,35
'763003502740130',193.0,2.0,35
'763003503080130',193.0,2.0,35
'763003503160130',193.0,2.0,35
'763003532400721',192.0,2.0,35
'763003578860721',196.0,2.0,35
'763003539250723',191.0,2.0,35
'697603260080734',194.0,2.0,32
'697603260160734',194.0,2.0,32
'697603260240734',194.0,2.0,32
'697603260320734',194.0,2.0,32
'697603260400734',194.0,2.0,32
'697603260570734',194.0,2.0,32
'697603260650734',194.0,2.0,32
'697603260810734',194.0,2.0,32
'697603260990734',194.0,2.0,32
'697603261070734',194.0,2.0,32
'697603261150734',194.0,2.0,32
'697603261230734',194.0,2.0,32
'697603261490734',194.0,2.0,32
'697603261560734',194.0,2.0,32
'697603270060734',195.0,2.0,32
'697603270140734',195.0,2.0,32
'697603270220734',195.0,2.0,32
'697603270480734',195.0,2.0,32
'697603270550734',195.0,2.0,32
'697603270630734',195.0,2.0,32
'697603270710734',195.0,2.0,32
'697603270890734',195.0,2.0,32
'697603270970734',195.0,2.0,32
'697603271050734',195.0,2.0,32
'697603271130734',195.0,2.0,32
'697603271210734',195.0,2.0,32
'697603271470734',195.0,2.0,32
'697603271540734',195.0,2.0,32
'697603271620734',195.0,2.0,32
'763003500022457',45.0,3.0,35
'763003500282457',45.0,3.0,35
'763003500442457',45.0,3.0,35
'763003500512457',45.0,3.0,35
'763003500692457',45.0,3.0,35
'763003500932457',45.0,3.0,35
'763003501192457',45.0,3.0,35
'763003501682457',45.0,3.0,35
'763003501842457',45.0,3.0,35
'763003501922457',45.0,3.0,35
'763003502342457',45.0,3.0,35
'763003502422457',45.0,3.0,35
'763003502672457',45.0,3.0,35
'763003502832457',45.0,3.0,35
'763003502912457',45.0,3.0,35
'763003503252457',45.0,3.0,35
'763003503582457',45.0,3.0,35
'763003503742457',45.0,3.0,35
'763003504162457',45.0,3.0,35
'763003504242457',45.0,3.0,35
'763003504572457',45.0,3.0,35
'763003505152457',45.0,3.0,35
'763003505312457',45.0,3.0,35
'763003505562457',45.0,3.0,35
'763003505642457',45.0,3.0,35
'697603205982457',45.0,3.0,32
'763003506142457',45.0,3.0,35
'763003506222457',45.0,3.0,35
'763003506482457',45.0,3.0,35
'763003506632457',45.0,3.0,35
'763003506712457',45.0,3.0,35
'763003506972457',45.0,3.0,35
'763003507052457',45.0,3.0,35
'763003507132457',45.0,3.0,35
'763003507212457',45.0,3.0,35
'763003507392457',45.0,3.0,35
'763003507472457',45.0,3.0,35
'763003507542457',45.0,3.0,35
'763003507702457',45.0,3.0,35
'763003507882457',45.0,3.0,35
'763003508122457',45.0,3.0,35
'763003508382457',45.0,3.0,35
'763003508462457',45.0,3.0,35
'763003508532457',45.0,3.0,35
'763003508872457',45.0,3.0,35
'763003508952457',45.0,3.0,35
'763003509112457',45.0,3.0,35
'763003509292457',45.0,3.0,35
'763003509452457',45.0,3.0,35
'763003509602457',45.0,3.0,35
'763003509782457',45.0,3.0,35
'763003509862457',45.0,3.0,35
'763003509942457',45.0,3.0,35
'763003510002457',45.0,3.0,35
'763003510342457',45.0,3.0,35
'763003510422457',45.0,3.0,35
'763003510592457',45.0,3.0,35
'763003510752457',45.0,3.0,35
'763003510832457',45.0,3.0,35
'763003510912457',45.0,3.0,35
'763003511092457',45.0,3.0,35
'763003511172457',45.0,3.0,35
'763003511252457',45.0,3.0,35
'763003511582457',45.0,3.0,35
